semester,skema,title,link,ID,duration
E19/F20,Skema B,"Uge 4, Store Dag: Taylors formler part 2",https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+2/0_rerswzzm/241155,0_rerswzzm,1431.3666666666666
E19/F20,Skema B,"Matematik 1 - Uge 3 Hold B, Lille Dag: Differentiabilitet",https://video.dtu.dk/media/Matematik+1+-+Uge+3+Hold+B%2C+Lille+DagA+Differentiabilitet/0_s0kqptdz/241155,0_s0kqptdz,3281.999333333333
E19/F20,Skema B,"Uge 3, Store Dag: Polynomier Part 2",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+2/0_xepsf5u7/241155,0_xepsf5u7,2650.5666666666666
E19/F20,Skema B,"Uge 3, Store Dag: Polynomier Part 1",https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+1/0_3wr735nv/241155,0_3wr735nv,3158.0666666666666
E19/F20,Skema B,"Uge 2, Lille Dag: Polære koordinater og eksponentialfunktionen, Hold B",https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%A6re+koordinater+og+eksponentialfunktionen%2C+Hold+B/0_scwuv5e0/241155,0_scwuv5e0,3509.0
E19/F20,Skema B,Matematik 1 - Hold B Uge 2 Del 2,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+2/0_abxn9l96/241155,0_abxn9l96,2351.9993333333337
E19/F20,Skema B,Matematik 1 - Hold B Uge 2 Del 1,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+1/0_mttvbobu/241155,0_mttvbobu,2881.9993333333337
E19/F20,Skema B,Matematik 1 - Hold B Uge 1 Lilledag,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Lilledag/0_yxe43w3a/241155,0_yxe43w3a,3281.999333333333
E19/F20,Skema B,Matematik 1 - Hold B Uge 1 Del 2,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+2/0_qwymjols/241155,0_qwymjols,2409.999333333333
E19/F20,Skema B,Matematik 1 - Hold B Uge 1 Del 1,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+1/0_2pxlej2l/241155,0_2pxlej2l,2727.9993333333337
